,sentiment,categories,urgency,risks,additional_info
21,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],
22,Positive,"['in-flight service', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],
23,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[], 
24,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Non-Immediate,[],
25,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays']",Non-Immediate,[],
26,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
27,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Non-Immediate,[],
28,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'safety', 'cleanliness']",Immediate,[],
29,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],"Decided to upgrade and treat myself to BA's Club World. Check in at JFK was efficient. Fast track through to security was a breeze. BA's Galleries Lounge at JFK T7 was shared with Cathay Pacific and LOT Polish Airline. The lounge was spacious and clean. I was encouraged to have my dinner in the lounge as the service is a sleeper service. To my disappointmwnt, there wasn't enough food left although the selections were good but not the best. After my pre-flight dining, I decided to have a shower. The shower rooms were clean and amenities available on request. BA's Club World seat is around 20 inches wide which was very comfortable for the quick 5 hour flight back home. I was greeted by my name by the cabin crew who were friendly. IFE option was the same as flying economy clasd. Menu was handed out a along with Elemis amenity kit. The meals were good but portions could be better. Upon arrival in LHR, bags were delivered on time. I was told to pay a visit to their arrivals lounge but I didn't bother. Overall, I would fly with BA's Club World product again. Seat and bed was very comfortable and well maintained despite the ageing aircraft. Cabin crew friendly and enthusiastic. Just one thing that BA might want to consider is the food portions because their portions are baby sized portions."
30,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays']",Immediate,[],"Heathrow - Paris CDG return with British Airways. Bag drop at Terminal 5 quick and hassle free, checked in online so had my boarding pass on my phone. Security was busy at 13.00 but had an hour so no panic. First time I have used BA in 5 years without having access to the lounge through my frequent flyer status but the hour in the terminal pleasant. Boarding quick and seat 7A was spacious departed 20 minutes late with a 10 minute late arrival. Crew nice with a drink and snack provided on a 55 min flight. Return I had no checked baggage so straight through Terminal 2A which is a nice experience with shops and food outlets. Boarding at 17.45 for an 18.00 departure on to a half full A319, departed a little late which meant a late arrival in to T5. A nice flight, nice crew a drink and snack provided. Seat 24A with enough room. Pleasant trip for a short flight, I don't feel it's worth the extra cost for a business class seat, economy was fine. Will use again."
31,Negative,"['in-flight service', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
32,Positive,"['in-flight service', 'staff behavior']",Non-Immediate,[],
33,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays']",Non-Immediate,[],
34,Positive,"['in-flight service', 'staff behavior', 'entertainment']",Non-Immediate,[],"The staff were not friendly or even helpful. A pregnant lady beside me asked for help with her carry on and the answer was if you can't carry it, don't bring it on board. My husband asked for an extra pillow and he was told only one pillow per passenger. The lady beside my daughter was not given food and when she asked for it, the flight attendant answered in a loud voice  I did ask you  (which did not happen). So don't fly this airline unless you have no other choice."
35,Negative,"['in-flight service', 'ticketing', 'entertainment']",Non-Immediate,[],"Very disappointed with British Airways. Very little leg room, I'm only 5ft 7in but I had to sit sideways for the flight. Food very basic, only a roll on both the outward and the return flight at 5.30pm. Other airlines offer a snack. Wouldn't travel British Airways again, budget airlines have more leg room."
36,Positive,"['in-flight service', 'seating', 'staff behavior']",Non-Immediate,[],
37,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'safety', 'cleanliness']",Immediate,[],
38,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[], 
39,Negative,"['in-flight service', 'staff behavior']",Non-Immediate,[],
40,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Immediate,[],
41,Positive,"['in-flight service', 'ticketing', 'seating', 'delays']",Immediate,[],
42,Negative,"['ticketing', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[],
43,Positive,"['baggage handling', 'staff behavior', 'delays', 'entertainment', 'safety']",Non-Immediate,[],
44,Positive,"['baggage handling', 'seating', 'delays']",Non-Immediate,[], 
45,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays']",Immediate,[],
46,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'cleanliness']",Immediate,[],
47,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'safety']",Immediate,[],"First ever long haul trip with British Airways as I usually fly with Cathay Pacific or KLM so I thought I'd give BA a chance. Ground service at London/Heathrow Terminal 5 is smooth and no hassle. Check in and security was very fast and efficient. I particularly like BA's boarding procedure at Heathrow, very orderly and organised regardless of the fullness of the flight. Onboard the A380 is BA's new 'World Traveller' cabin on the main deck at 3x4x3 configuration. BA offers 31.5 inches legroom compared to CX's 32 inches and it was surprisingly very comfortable with the slim design seats. IFE had a few glitches but the FA's were happy to assist and worked perfectly throughout the flight. However, more movies, TV programmes and music options could be offered. Meals were mediocre. Drinks were served around an hour after take off. Meals followed straight after. Lunch meal option was either curry, vegetarian pasta or chicken and often for the latter. Surprisingly good but still not as good as CX. Portions could be better. Drinks were offered throughout the flight along with snack boxes. Pre-landing meal was also given with two options: pasta or chicken casserole, I went for the latter. Again, portions could be better. Overall, I would fly long haul with BA again on their new product (A380, B777-300ER and B787)."
48,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,['harm'],
49,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
50,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[],"Boarding well organised and efficient. Seated in World Traveller on the upper deck. 2x4x2 on this deck is preferable to the 3x4x3 on the lower deck. Flight attendants welcome customers on board and service was friendly and professional. Seat fairly comfortable. Legroom standard for economy. IFE excellent; a huge range of entertainment options. The disappointment was lunch. The chicken casserole was basically a few pieces of chicken swimming in oil with a few vegetables. Very poor. Afternoon tea, on the other hand, was nice."
51,Negative,"['in-flight service', 'ticketing', 'seating']",Non-Immediate,[],
52,Negative,"['in-flight service', 'ticketing', 'staff behavior', 'delays']",Immediate,[],
53,Positive,"['in-flight service', 'ticketing', 'cleanliness']",Immediate,[],"London City to Geneva, on holiday with parents, and treated with courtesy. My mom asked her tea to get cleaned up, FA asked her if the tea is too strong. Simple treatment but rarely found in airlines in Europe or America. Short 1hr 20m flight but full breakfast was served to economy class passengers. Satisfactory and recommended."
54,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Immediate,[],
55,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],"My husband and I flew to Vancouver with British Airways on 2nd December 2015. We were due to return to UK on 9th December in Premium Economy. Unfortunately our flight was cancelled due to engine failure. British Airways were unable to get us onto a flight on the following day, Thursday, and so we were booked to return on the Friday, 48 hours after we were due to return home. Despite the inevitable disappointment and inconvenience as we were due to return to a busy work schedule on the Friday, British Airways were excellent. They couldn't have been more helpful and accommodating, putting us up in a lovely hotel for two nights, providing food vouchers and then upgrading us to business class when we were eventually returned home. The ground and flight staff at Vancouver were fantastic, understanding and went the extra mile without exception."
56,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],
57,Positive,"['baggage handling', 'ticketing', 'delays', 'entertainment']",Non-Immediate,[],
58,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays', 'cleanliness']",Non-Immediate,[],
59,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'safety']",Immediate,[],
60,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],"Toronto to Entebbe via London with British Airways. I was quite impressed with British Airways, they were fairly generous with the amount of food they offered as well as the selection of inflight movies and games. The staff were never rude or unprofessional and the flights were all on time."
61,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior']",Immediate,[],
62,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Immediate,[],
63,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
64,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
65,Negative,"['in-flight service', 'ticketing', 'seating', 'delays']",Non-Immediate,[],"FRA-LHR on A319, We sat on the plane at the gate for almost 40 minutes due to one runway closed, no drinks offered. No veg meal for my wife, Empty bottle under the middle seat tray. Landed allegedly almost on time due to the excessive time scheduled for the leg."
66,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
67,Positive,"['in-flight service', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[],"Helsinki to London via Helsinki. The flexibility, readiness, and kindness of the cabin crew reminded me why I have appreciated BA in the past and continue to do so: they do what they say they will do, and do it well. BA makes me happy to pay the little extra for a bag and a small meal, when I get treated like a person - and given an exit row seat as a tall person, when there was one and I am 6'6 ."
68,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,['damage'],
69,Positive,"['in-flight service', 'baggage handling', 'seating', 'cleanliness']",Non-Immediate,[],
70,Positive,"['in-flight service', 'ticketing', 'seating', 'delays', 'entertainment']",Immediate,[],
71,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],"The flight left on time and arrived early, which was great. The B747-400 fleet of BA needs either replacement or complete refit of the interiors. The aircraft was old and looked it. The food was pretty standard but compared with our earlier Cape Town to London flight much better and more complete, why the lack of consistency is unclear. The inflight entertainment offering is good but the TV screens are small and worn delivering poor quality images. Staff were excellent, efficient and friendly and went out of their way to make the journey more pleasant"
72,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Non-Immediate,[],
73,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[],
74,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays']",Non-Immediate,[],
75,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'safety']",Immediate,['alarm'],"London to Newcastle. Been a while since I last flew British Airways, sad to see the same old planes in use and now very much looking their age for domestic use. Technical issues delayed departure, normal sure, but the noise the plane made on taxi lasted far too long and was slightly alarming and not the norm. Seat pitch belongs on a dodgy charter not the national carrier surely? Last time flown I got a nice sandwich and drink, this time it's small bag of crisps and juice? It's time BA stopped taking it's domestic (no competition routes) for granted and upgrade the fleet on short trips, the numbers onboard justify a better level of service considering the extra fees now attached for checked in luggage versus just carry on, puts me off using their long haul option with ever increasing fees whilst oil prices have been rock bottom for how long now? Kudos to the pilot for landing in Monsoon like conditions with very limited visibility - if only the aircraft quality matched their pilots!"
76,Positive,"['in-flight service', 'baggage handling', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
77,Positive,"['in-flight service', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],"A pleasant trip with British Airways as usual but suffered a 60 minute delay, for which the Captain apologised for when we boarded. Inflight entertainment was on mainscreen and showed a range of programs and the onboard service was good, especially as it was a jam packed flight. However, these planes are rather old and neither my seat nor the one next to me had a working headphone jack. British Airways is a standard airline, but not as good as other major scheduled airlines. I find it tends to be rather hit and miss when it comes to the quality of cabin crew and aircraft."
78,Positive,"['in-flight service', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
79,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[],
80,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],
81,Positive,"['in-flight service', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],
82,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],LGW to CMB via MLE and return Sept/Oct 2014. As a British Citizen you desperately want to like BA but they do make it very difficult to do so. The recent documentary  A Very British Airline  whetted our appetite that perhaps a commitment to service may have returned to BA particularly in the long-haul premium cabins. Sadly on all the legs the cabin service was totally indifferent without any effort to do more than the bare minimum. Attendants chewing gum no smiles everything was all too much effort. The only time the crew showed any animation was when talking to each other. Adequate is about the best description but it could have been so much better without any cost except a bit of effort.
83,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Immediate,[],
84,Positive,"['in-flight service', 'ticketing', 'seating', 'entertainment', 'cleanliness']",Immediate,[],
85,Positive,"['in-flight service', 'baggage handling', 'staff behavior']",Non-Immediate,[],
86,Positive,"['in-flight service', 'ticketing', 'seating', 'entertainment', 'cleanliness']",Immediate,[],
87,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
88,Positive,"['in-flight service', 'ticketing', 'seating', 'entertainment', 'cleanliness']",Non-Immediate,[],"Nice to Las Vegas via Heathrow. Overall British Airways premium economy is a good product, seat is great day seat but not really good to sleep in. Food was average, not sure why they insist on beef and then overcook. Service on the way was terrific, on the way back was average - the stewardess was bitter and not happy. Entertaiment needs to be updated. A separate cabin and bathroom is a plus, and the fact that you are behind first class cabin means you get off right away. All in all a good experience, but with some things that need to be fine tuned."
89,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],"Amsterdam to London Heathrow on January 4th and a good experience. Full flight on old but comfortable Boeing 767. Efficient service by cabin crew. Snacks (shortbread, popcorn or crisps offered with coffee, tea and water. Landed on time despite a delay at AMS due to congestion, captain kept passengers up to date. All in all a very good experience."
90,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[],
91,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Immediate,[],
92,Positive,"['in-flight service', 'staff behavior', 'cleanliness']",Non-Immediate,[],
93,Positive,['in-flight service'],Non-Immediate,[],
94,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior']",Non-Immediate,[],
95,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating']",Non-Immediate,[],
96,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Non-Immediate,[],
97,Positive,"['in-flight service', 'seating', 'delays']",Non-Immediate,[],
98,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays']",Immediate,[],"As a frequent flyer on various airlines, British Airways is by far the worst I have experienced. Substandard customer service even before the flight. My original plan was to fly from Toronto to Rome via London on July 2nd. Three tickets were purchased and confirmed in March. Two weeks before departure, an email was sent to me altering my flight from London to Rome. I called and waited on the service hotline - I was able to get myself on one flight and my parents on another. The rep refused to try to put me together with my parents. Less than 48 hours before departure my rescheduled flight was rerouted to Naples. The agent told me all extra travel expenses would be my own. On the day of departure I got my flight from Gatwick to Rome after rushing from Heathrow. I was told initially the flight was rerouted to Naples and just before departure this reverted back to a direct flight to Rome - very confusing communication. I arrived in Rome to discover my parents flight was delayed for four hours. With more BA flights arriving into the terminal, the service desk was closed before my flight even arrived. There are no BA reps anywhere to seek assistance."
99,Positive,"['in-flight service', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
100,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'cleanliness']",Non-Immediate,[],I cannot believe that BA calls their plane from Austin to London a  Dreamliner . I'm sitting in their so called  club world  which is the equivalent to Americans business class and this plane is awful! There is no room to put anything at all. Everything and I mean everything goes in storage. You are literally looking straight at the person next to you. Attendants are rude. Don't waste your money. While its nice to go non-stop between Austin and London this will be the last time I ever take this flight.
101,Negative,"['baggage handling', 'ticketing', 'seating', 'delays']",Immediate,[],
102,Positive,"['in-flight service', 'staff behavior']",Non-Immediate,[],"London Heathrow to Las Vegas. Outbound great welcome and service. Homebound friends reported same great service from female attendant on their side of cabin. Unfortunately, my wife and I were looked after young male attendant whose manner was rather officious and for whom everything seemed to be too much trouble. Detracted only somewhat from overall very enjoyable BA booked Vegas trip - think maybe the guy is in the wrong career. Boeing 747s OK but a bit tatty all round. I hope they're near retirement."
103,Positive,"['seating', 'staff behavior', 'delays']",Immediate,[],"First leg CAI-LHR was on time, flight crew was pleasant, but the seating was very cramped and legroom almost non-existent. The second leg LHR-JFK wasn't much different with helpful crew but horrible seating space. My knees were pressed against the seat in front of me constantly and had to relieve them one at a time. It used to be a flagship carrier but now it's not much better than a budget airline. Will do my best to avoid."
104,Neutral,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'entertainment']",Non-Immediate,[],
105,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Non-Immediate,[], 
106,Positive,"['in-flight service', 'staff behavior']",Immediate,[],
107,Positive,"['ticketing', 'staff behavior']",Non-Immediate,[],"After 7 flight changes we took off to LHR which I was pleased about given that so many of the shuttles our friends have tried to travel on have previously just been cancelled. The aircraft from LHR had seen better days and I did wonder if we were in PE given other airlines we had travelled with. I would say categorically that it was not worth the extra hike. Just book economy with extra leg room. Given we used BA's partner airline AA which was awful and given the chap next to me had his family flight to Canada cancelled by BA and had to go a day early, via NY, I would never book with BA. Staff on board were excellent."
108,Negative,"['baggage handling', 'ticketing', 'delays']",Non-Immediate,[],
109,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],     
110,Positive,"['baggage handling', 'ticketing', 'staff behavior']",Immediate,[],
111,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'entertainment']",Immediate,"['hazard', 'serious']",
112,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'delays']",Immediate,[],
113,Positive,"['in-flight service', 'ticketing', 'staff behavior', 'entertainment']",Non-Immediate,[],
114,Positive,"['in-flight service', 'ticketing', 'seating', 'delays']",Immediate,[],
115,Positive,"['in-flight service', 'baggage handling', 'staff behavior', 'delays', 'entertainment', 'cleanliness']",Non-Immediate,[],
116,Negative,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'entertainment']",Non-Immediate,[],
117,Negative,"['ticketing', 'staff behavior']",Non-Immediate,['disaster'],
118,Positive,"['in-flight service', 'baggage handling', 'seating', 'staff behavior', 'delays', 'entertainment']",Immediate,[],"I used British Airways to Hong Kong in 2012 and remember vowing to never use them again. However, as I needed to get to New York and back quickly I had to use British Airways, and I thought they may have bucked up their ideas. The flight to NYC was on a Boeing 747 which really did need an uplift, the seats and decor was tired and the staff rude. The entertainment system was terrible and limited. On the return flight, I was on a Boeing 777 and although slightly more modern, the entertainment again was limited and the control unit didn't work. The staff were better than the previous flight. However British Airways did manage to mislay my baggage between NYC and Manchester and I received it 24hours later (battered and missing some clips and thankfully nothing broken inside). I've decided that whenever I fly eastw I'll continue using Emirates or Singapore Airlines (both of a far higher quality than British Airways) and to the USA maybe Virgin (have to be better than BA surely?). I'll never use BA again."
119,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays', 'entertainment']",Non-Immediate,[],"British Airways from Tampa to Gatwick on Boeing 777 Club World. Having travelled out WT Plus to Miami we got a good deal coming back from Tampa so flew Club Class. Checked in at Tampa with no queues, and used the International Lounge at Tampa. Supposed to be exclusive to BA customers this had comfortable seats, and good choice of newspapers and magazines. Did not try WiFi. However, there was disappointingly very poor choice of snacks - a few dried up sorry looking sandwiches which were not replenished during my time there, and crackers with some processed cheese with a few dips, some wine, beer, liquor and soft drinks. Pretty uninspiring stuff. On board comfortable, if narrow, seats that extended into (more or less) flat beds. British Airways still have the very camped 2-4-2 layout with fellow passengers having to clamber over people to go to the rest room etc. Reasonable meal (beef) accompanied by an outstanding Chablis Premier Cru and a very nice Sauvignon Blanc. My wife slept for 5 straight hours - I could only sleep fitfully as not much room at shoulder level but at least the seats were comfortable. Terrible selection of films on the entertainment system. Took off on time, and landed slightly early. FA's quite smiley and nice."
120,Negative,"['in-flight service', 'ticketing', 'seating', 'delays']",Non-Immediate,[],
121,Positive,"['baggage handling', 'delays']",Immediate,[],Lanzarote to Gatwick on 13th April. Flight itself was okay but on arrival we were  parked  a long way from the baggage reclaim area (for which the Captain apologised). After a 30 minute walk from the plane our problems began as we then waited another more than 2 hours for our luggage to arrive. Many flights that landed a long time after us received our bags and set off home far more promptly. BA have acknowledged they are responsible for the journey from  start to finish  but have gone on to advise that some parts of the operation are sub contracted including this part. Can't recommend BA because of this experience and because of the way our subsequent complaint has been handled. Not planning to use BA again because of this.
122,Positive,[],Non-Immediate,[],
123,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'delays']",Non-Immediate,[],
124,Positive,"['in-flight service', 'ticketing', 'seating', 'staff behavior', 'entertainment', 'cleanliness']",Immediate,[],"Gatwick to Funchal. What has happened to BA club Europe? You used to get wider seats and more leg room than economy. Not any more. Same seats as economy but with middle seat blocked. Breakfast ok but not brilliant. Staff were good and I enjoyed the champagne but was it worth paying for club class? No it wasn't. We were lucky and got row 2 by the food galley which meant extra legroom but that was more luck than design. I wouldn't fly Club Europe again unless I was guaranteed this seat but to get it I would have to pay £18 per person each way on top of the club fares. Total rip off BA. Before we flew I was going to book British Airways to Bangkok. Based on this experience though I'll stick to EVA Air. Additionally the club lounge at Gatwick was dire. No seats available on arrival, cooked meal inedible and the lounge was not exclusive to BA and was clearly being used by all and sundry who paid a few quid for the use of a lounge. The tables were also filthy."
125,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Immediate,['risk'],
126,Negative,"['in-flight service', 'ticketing', 'staff behavior', 'delays', 'entertainment']",Immediate,[],
127,Positive,"['in-flight service', 'baggage handling', 'ticketing', 'seating', 'staff behavior']",Immediate,[],"London Heathrow to Dubai in British Airways First Class. The trip got off to a good start with the Concorde lounge at Terminal 5. Very comfortable and private, however showing signs of wear and tear. Needs a bit of a refurb. Boarding was announced and we promptly left, however only just made it to the gate. (Very odd, but I am no fan of the trains to the strange satellite terminals for boarding.) The plane was a very old refurbished Boeing 747-400. Quite why BA hangs on to these gas guzzlers is a mystery. I estimate the plane, over its life so far, has done about 90 million miles (enough to get to the moon). Much criticism has been said about cramming so many First suites into the nose of the plane, and I can say that is fully justified. It was a day flight so not worried about sleeping, but if it were a night flight as a tall (but not overweight) man I would struggle to get comfortable. It’s like a coffin and storage space for personal effects not worth a light. A cabin crew told me they will hang on to the newer Boeing 747-400s for another 5-10 years. If so, this is truly unbelievable. Given the Emirates competition on this route, their fantastic suites and they always serve caviar, one does wonder if the sales and marketing people at British Airways have a clue how to entice customers to the overall experience. There is so much criticism of British Airways on this site, one wonders why they don’t listen. It can only be perceived as arrogance. Food was fine. Very nice mezza, nice soup and spicy Middle Eastern style chicken; not bad at all. Champagne very basic and Krug has long vanished from British Airways routes. Cabin crew were terrific – faultless. Travelling a Boeing 777 on the way back. Hopefully a better seat."
