,Sentiment,Risk,Urgency,Topic,Source Airport,Destination Airport,Carrier
34,Negative,High Risk,Non-Immediate,Service Quality,City x,City y,Airline Name
35,Answer: Negative,High Risk,Immediate,Comfort and Seating,City x,City y,British Airways
36,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Tokyo Narita,British Airways.
37,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Toronto,London,British Airways
38,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Nassau,Paris,British Airways
39,Negative,High Risk,Non-Immediate,Service Quality,Dubrovnik,Gatwick,British Airways
40,Possible answer: Neutral,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,London Heathrow (LHR),Las Vegas (LAS),British Airways (BA)
41,Answer: Positive,Low Risk,Non-Immediate,Pricing and Policies,LGW,SZG,Unknown
42,Answer: Negative,Low Risk,Non-Immediate,Comfort and Seating,London,Bucharest,Unknown
43,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Gothenburg,British Airways
44,Answer: Neutral,Low Risk,Non-Immediate,Service Quality,London Heathrow (LHR) Airport,Terminal 5,Airbus A320 (G-GATL)
45,Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Valencia,British Airways
46,Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Belfast,British Airways
47,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London/Heathrow Terminal 5,City x,British Airways.
48,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Heathrow,Bologna,British Airways
49,Negative,High Risk,Non-Immediate,Service Quality,London,Los Angeles,British Airways
50,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,Source Airport,Destination Airport,Carrier
51,Negative,High Risk,Non-Immediate,Comfort and Seating,LAX,LHR,A380
52,Negative,High Risk,Immediate,Food and Catering,Source Airport,Destination Airport,British Airways
53,Answer: Positive,Low Risk,Non-Immediate,Service Quality,London City,Geneva,Unknown
54,Positive,Low Risk,Non-Immediate,Food and Catering,New York JFK,London Heathrow,Unspecified Carrier
55,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,UK,Vancouver,British Airways
56,Answer: Negative,Low Risk,Non-Immediate,Service Quality,London Heathrow,Malaga,British Airways
57,Answer: Negative,High Risk,Non-Immediate,Service Quality,Airport x,Airport y,British Airways
58,Positive,Low Risk,Non-Immediate,Flight and In-flight Experience,LHR,VCE,British Airways
59,Negative,High Risk,Non-Immediate,Service Quality,London,Buenos Aires,British Airways
60,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Toronto,Entebbe,British Airways
61,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Glasgow,Gatwick,British Airways
62,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Gatwick,Mauritius,British Airways
63,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Bologna Airport,British Airways
64,Answer: Negative,Low Risk,Non-Immediate,Service Quality,Johannesburg,London Heathrow,British Airways
65,Answer: Negative,High Risk,Immediate,Service Quality,Frankfurt Airport (FRA),London Heathrow Airport (LHR),A319.
66,Negative,High Risk,Immediate,Bad Service,Orlando,London,British Airways
67,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Helsinki,London,British Airways
68,Answer: Positive,Low Risk,Non-Immediate,Pricing and Policies,Berlin Tegel,London Heathrow,British Airways
69,Answer: Negative,High Risk,Non-Immediate,Aircraft Condition and Cleanliness,London Heathrow Airport (LHR),Miami International Airport (MIA),American Airlines (AA)
70,Answer: Positive,Low Risk,Non-Immediate,Pricing and Policies,Heathrow,Rome,British Airways
71,Answer: Positive,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,Source Airport Unknown,Destination Airport Unknown,British Airways
72,Answer: Neutral,Low Risk,Non-Immediate,Comfort and Seating,London,Doha,Unspecified
73,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,London,Keflavik,British Airways
74,Answer: Negative,High Risk,Immediate,Bad Service,Source Airport,Destination Airport,British Airways
75,Answer: Negative,High Risk,Non-Immediate,Service Quality,London,Newcastle,British Airways
76,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,Heathrow,Lyon,Unknown
77,Answer: Positive,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,Source Airport Undefined,Destination Airport Undefined,British Airways
78,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Airport Name (Source),Airport Name (Destination),Carrier Name
79,Answer: Negative,High Risk,Non-Immediate,Comfort and Seating,Airport x,Airport y,A380
80,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Gatwick,Antigua,British Airways.
81,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Madrid,London City,Embraer
82,Negative,Low Risk,Non-Immediate,Service Quality,LGW,CMB,BA
83,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Warsaw Chopin Airport,A320
84,Negative,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Orlando,Unknown
85,,,,,,,
86,Answer: Negative,High Risk,Non-Immediate,Bad Service,Miami,London,British Airways
87,Negative,High Risk,Immediate,Flight and In-Flight Experience,Singapore,Newcastle,Unspecified
88,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Heathrow,Las Vegas,British Airways
89,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Amsterdam,London Heathrow,Boeing 767.
90,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Vienna,London Heathrow,British Airways
91,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Heathrow,Hong Kong,British Airways.
92,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Hong Kong,British Airwaves
93,Answer: Negative,High Risk,Non-Immediate,Bad Service,Glasgow,London City,British Airways
94,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport (LHR),Los Angeles International Airport (LAX),British Airways (BA)
95,Answer: Negative,High Risk,Non-Immediate,Service Quality,Madrid,London,British Airways.
96,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Athens,Kuala Lumpur,British Airways
97,Answer: Neutral,Low Risk,Non-Immediate,Comfort and Seating,Gatwick Airport,Tenerife Airport,British Airways
98,Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Toronto,Rome,British Airways
99,Negative,High Risk,Immediate,Bad Service,Source Airport,Destination Airport,Carrier
100,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Austin,London,British Airways
101,Negative,High Risk,Immediate,Bad Service,Source Airport,Destination Airport,Airline
102,"Answer:
Negative",Low Risk,Non-Immediate,Service Quality,London Heathrow,Las Vegas,British Airways
103,Negative,High Risk,Non-Immediate,Comfort and Seating,CAI,LHR,JFK
104,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Source Airport not specified,Destination Airport not specified,Carrier not specified.
105,Answer: Negative,High Risk,Immediate,Bad Service,Pisa,London Heathrow,British Airways
106,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Hyderabad,San Francisco,British Airways
107,Answer: Positive,High Risk,Non-Immediate,Bad Service,LHR,Canada via NY,BA
108,Negative,High Risk,Immediate,Issues and Complaints,Manchester,Copenhagen,SAS Airlines
109,Answer: Negative,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Mumbai,Seattle,British Airways
110,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Lisbon,London Heathrow,British Airways.
111,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,T3,T5,British Airways
112,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Warsaw Chopin Airport,A320
113,Answer: Positive,Low Risk,Non-Immediate,Service Quality,London Heathrow,Houston,Avios & Amex
114,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,London,BKK,EVA Air
115,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Gatwick,Bari,Unknown
116,Negative,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Copenhagen,British Airways
117,Answer: Negative,High Risk,Immediate,Bad Service,Airport OZ,Airport Leeds,British Airways
118,Negative,High Risk,Immediate,Bad Service,London,Hong Kong,British Airways
119,"Possible Answer: 
            Positive",Low Risk,Non-Immediate,Service Quality,Tampa,Gatwick,British Airways
120,Negative,High Risk,Non-Immediate,Comfort and Seating,JFK,London,British Airways
121,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Lanzarote,Gatwick,BA
122,Answer: Positive,Low Risk,Non-Immediate,Service Quality,Edinburgh,Kuala Lumpur,British Airways
123,Negative,High Risk,Non-Immediate,Pricing and Policies,London,Budapest,British Airways
124,Negative,High Risk,Non-Immediate,Service Quality,Gatwick,Funchal,British Airways
125,Negative,High Risk,Non-Immediate,Service Quality,N/A,N/A,British Airways
126,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,N/A,N/A,British Airways
127,Answer: Positive,High Risk,Non-Immediate,Aircraft Condition and Cleanliness,London Heathrow,Dubai,British Airways
128,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Cape Town International Airport,British Airways
129,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Larnaca,British Airways
130,Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Seattle,Redemption Ticket
131,Answer: Negative,High Risk,Immediate,Flight and In-Flight Experience,Gatwick,Cancun,British Airways
132,Answer: Negative,Low Risk,Non-Immediate,Service Quality,London Heathrow,Boston,British Airways
133,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Glasgow,Heathrow,Unknown
134,Negative,High Risk,Non-Immediate,Bad Service,London Heathrow,Hong Kong,British Airways
135,Answer: Negative,High Risk,Immediate,Service Quality,London,Dubai,British Airways
136,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Gatwick,Thessaloniki,British Airways
137,Answer: Negative,High Risk,Non-Immediate,Comfort and Seating,Inverness,Auckland,British Airways.
138,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Frankfurt,Buenos Aires,Unspecified
139,Negative,High Risk,Non-Immediate,Service Quality,New York JFK,Düsseldorf,British Airways
140,Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport (LHR),Philadelphia International Airport (PHL),787 Dreamliner
141,Negative,High Risk,Non-Immediate,Bad Service,London Heathrow,Geneva,British Airways
142,Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Amsterdam,Gatwick,BA
143,Neutral,Low Risk,Non-Immediate,Flight and In-Flight Experience,Johannesburg,London,Comair
144,Answer: Negative,High Risk,Immediate,Aircraft Condition and Cleanliness,London,Luanda,British Airways.
145,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Airport x,Airport y,British Airways
146,Answer: Positive,High Risk,Non-Immediate,Customer Experience and Satisfaction,Stavanger,Las Vegas,American Airlines
147,Negative,Medium Risk,Immediate,Flight and In-Flight Experience,London Heathrow,Zurich,British Airways
148,Answer: Negative,High Risk,Non-Immediate,Pricing and Policies,London Heathrow,Larnaca,British Airways
149,Answer: Negative,Low Risk,Non-Immediate,Comfort and Seating,Vancouver,London Heathrow,British Airways
150,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,SFO,Denver,British Airways
151,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Krakow,British Airways
152,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Airport x,Airport y,British Airways
153,Answer: Negative,High Risk,Non-Immediate,Service Quality,City x,City y,British Airways
154,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,City x,City y,British Airways
155,Negative,Medium Risk,Non-Immediate,Bad Service,SYD (Sydney),LHR (London Heathrow),Airline Name
156,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,London,Kuala Lumpur,British Airways
157,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow,Washington Dulles,British Airways
158,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,St Vincent,Gatwick,LIAT Airways
159,Answer: Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Unknown,Unknown,Unknown
160,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,London,Montreal,British Airways
161,Neutral,Low Risk,Non-Immediate,Comfort and Seating,City x,City y,Air India
162,Answer: Negative,High Risk,Non-Immediate,Service Quality,City x,City y,British Airways
163,Negative,High Risk,Immediate,Issues and Complaints,Heathrow,Marseille,British Airways
164,Negative,High Risk,Immediate,Customer Experience and Satisfaction,City x,City y,British Airways
165,Answer: Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Athens,London,British Airways
166,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Toronto,New Delhi,British Airways
167,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,Glasgow,Prague,British Airways
168,Answer: Positive,Low Risk,Non-Immediate,Bad Service,Edinburgh,London Gatwick,British Airways.
169,Negative,High Risk,Non-Immediate,Service Quality,City x,City y,British Airways
170,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Airport x,Airport y,British Airways
171,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Los Angeles,London Heathrow,British Airways
172,Answer: Positive,Low Risk,Non-Immediate,Service Quality,London Heathrow,Nairobi,British Airways
173,Answer: Positive,High Risk,Non-Immediate,Comfort and Seating,Grenada,Gatwick,British Airways
174,Answer: Negative,High Risk,Immediate,Flight and In-Flight Experience,Singapore,London Heathrow,British Airways
175,Answer: Negative,High Risk,Non-Immediate,Service Quality,Helsinki,London,British Airways
176,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Airport x,Airport y,American Airlines and British Airways
177,Answer: Positive,High Risk,Non-Immediate,Comfort and Seating,LGW,CUN,BA
178,Negative,High Risk,Immediate,Service Quality,Frankfurt,Hong Kong,British Airways
179,Negative,High Risk,Non-Immediate,Flight and In-Flight Experience,Las Vegas,London Heathrow,British Airways
180,Negative,Low Risk,Non-Immediate,Customer Experience and Satisfaction,London Heathrow,Malaga,British Airways
181,Negative,High Risk,Non-Immediate,Service Quality,Heathrow,JFK,British Airways
182,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,Heathrow T5,Various,British Airways
183,Answer: Negative,High Risk,Immediate,Operational Efficiency,Pisa,Genoa,British Airways
184,Neutral,Moderate Risk,Non-Immediate,Comfort and Seating,Washington,Prague,Unspecified
185,Answer: Neutral,Low Risk,Non-Immediate,Service Quality,Manchester,Heathrow,BA
186,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Gatwick,Rome,Boeing 737.
187,Answer: Positive,High Risk,Non-Immediate,Bad Service,Glasgow,Paris,British Airways
188,Answer: Negative,Low Risk,Non-Immediate,Comfort and Seating,London Heathrow Airport,Las Vegas Airport,British Airways
189,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Venice,Gatwick,British Airways
190,Negative,High Risk,Immediate,Service Quality,London Heathrow,Hong Kong,British Airways
191,Negative,High Risk,Non-Immediate,Comfort and Seating,Gatwick Airport,Mauritius,British Airways
192,Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,London,Bangkok,British Airways
193,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Funchal,London Gatwick,British Airways.
194,Answer: Negative,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Source Airport,Destination Airport,British Airways
195,Answer: Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,London,Boston,British Airways
196,Answer: Negative,High Risk,Immediate,Pricing and Policies,N/A,N/A,British Airways
197,Answer: Neutral,Low Risk,Non-Immediate,Comfort and Seating,Aberdeen,Boston,London Heathrow.
198,Answer: Negative,High Risk,Non-Immediate,Bad Service,Zurich,LCY,British Airways
199,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Dublin,London City,British Airways
200,Answer: Neutral,Low Risk,Non-Immediate,Flight and In-Flight Experience,Swissair,Delhi,British Airways
201,Answer: Negative,Low Risk,Non-Immediate,Pricing and Policies,Athens,Philadelphia,British Airways
202,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Las Vegas,Venice,British Airlines
203,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,London Heathrow,Bengaluru,Air Hostess.
204,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Copenhagen,Mexico City,British Airways
205,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Toronto Pearson International Airport,British Airways
206,Answer: Negative,High Risk,Non-Immediate,Pricing and Policies,Aberdeen,London Heathrow,British Airways
207,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,London Heathrow,Budapest,British Airways
208,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,London,Singapore,Airline
209,Answer: Negative,Low Risk,Non-Immediate,Bad Service,London,Cairo,Unknown
210,Negative,High Risk,Non-Immediate,Food and Catering,Gatwick,Mauritius,Unknown Carrier
211,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Heathrow,Arlanda,British Airways
212,Negative,High Risk,Non-Immediate,Aircraft Condition and Cleanliness,Airport x,Airport y,British Airways
213,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,LPT,LHR,BA
214,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Edinburgh,Gatwick,British Airways
215,Answer: Negative,High Risk,Immediate,Bad Service,Tampa,Gatwick,Unknown
216,Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,Kiev,Belfast,British Airways
217,Answer: Positive,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,London Heathrow,Edinburgh,British Airways
218,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Gatwick,Barcelona,Ryanair
219,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Newcastle,London Heathrow,British Airways
220,Answer: Positive,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,Frankfurt,London Heathrow,BA.
221,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Sofia Airport,Unknown Carrier
222,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow (LHR),Palma de Mallorca (PMI),British Airways (BA)
223,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Los Angeles,Unknown
224,Answer: Negative,Low Risk,Non-Immediate,Service Quality,Manchester,Gothenburg,British Airways
225,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Heathrow Terminal 5,City y,British Airways
226,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Geneva (GVA),London Gatwick (LGW),British Airways (BA)
227,Answer: Positive,High Risk,Non-Immediate,Flight and In-Flight Experience,Berlin,Johannesburg,British Airways
228,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Toronto,London Heathrow,British Airways
229,"Answer:
Negative",High Risk,Non-Immediate,Service Quality,Bengaluru,London Heathrow,British Airways.
230,Answer: Positive,High Risk,Non-Immediate,Flight and In-Flight Experience,London Gatwick,Fort Lauderdale,British Airways
231,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Gatwick Airport,Gibraltar Airport,British Airways.
232,Negative,High Risk,Non-Immediate,Service Quality,London Heathrow,Cape Town,British Airways
233,Answer: Negative,High Risk,Non-Immediate,Service Quality,London Heathrow,Miami,British Airways
234,Negative,Low Risk,Non-Immediate,Customer Experience and Satisfaction,City x,City y,British Airways
235,Answer: Positive,High Risk,Non-Immediate,Food and Catering,City x,City y,British Airways
236,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Hong Kong International Airport,London Heathrow Airport,British Airways.
237,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,St Petersburgh,British Airways
238,Answer: Positive,Low Risk,Non-Immediate,Aircraft Condition and Cleanliness,London-Heathrow,Warsaw,British Airways
239,Answer: Negative,High Risk,Non-Immediate,Service Quality,Heathrow,San Francisco,BA.
240,Answer: Negative,High Risk,Immediate,Customer Experience and Satisfaction,Leeds,Heathrow,British Airways
241,Answer: Negative,High Risk,Non-Immediate,Pricing and Policies,Gatwick,Tenerife,British Airways
242,"Answer:
Positive",Low Risk,Non-Immediate,Flight and In-Flight Experience,Buenos Aires,London,British Airways
243,Negative,High Risk,Immediate,Pricing and Policies,USA,Italy,American Airlines and British Airways
244,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Boston Logan International Airport,British Airways.
245,Negative,Low Risk,Non-Immediate,Seating and Comfort,London,Tenerife South,British Airways
246,Negative,High Risk,Immediate,Bad Service,Los Angeles,Leeds Bradford,British Airways and American Airways
247,Negative,Low Risk,Non-Immediate,Customer Experience and Satisfaction,LAX,LHR,British Airways
248,Answer: Negative,High Risk,Immediate,Comfort and Seating,London,Philadelphia,British Airways
249,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Los Angeles,London,British Airways
250,Negative,High Risk,Immediate,Service Quality,Warsaw,London Heathrow,British Airways
251,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,San Francisco International Airport,British Airways
252,Answer: Negative,High Risk,Immediate,Issues and Complaints,Heraklion,Gatwick,BA
253,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Madrid Airport,British Airways
254,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London,Hong Kong,British Airways
255,Negative,Moderate Risk,Non-Immediate,Pricing and Policies,London Heathrow,Brussels,British Airways
256,Negative,Low Risk,Non-Immediate,Service Quality,Heathrow,Vancouver,British Airways
257,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,LHR,LAX,British Airways
258,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,London Heathrow Airport,Suvarnabhumi Airport,British Airways
259,Answer: Negative,High Risk,Non-Immediate,Customer Experience and Satisfaction,London,Tel Aviv,British Airways
260,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,LCA,LHR,Cyprus Airways
261,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,ORT,City y,British Airways.
262,Answer: Positive,Low Risk,Non-Immediate,Comfort and Seating,City x,City y,British Airways
263,Negative,High Risk,Immediate,Flight and In-Flight Experience,Tampa,London Gatwick,British Airways
264,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Heathrow Airport,Basel Airport,Airline
265,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,London Gatwick Airport (LGW),Pisa Airport (PSA),British Airways (BA)
266,Answer: Negative,High Risk,Non-Immediate,Service Quality,Airport x,Airport y,British Airways
267,Answer: Negative,High Risk,Non-Immediate,Aircraft Condition and Cleanliness,Source Airport Unknown,Destination Airport Unknown,Carrier Unknown.
268,Negative,High Risk,Immediate,Customer Experience and Satisfaction,Vancouver,Lisbon,British Airways
269,Answer: Negative,High Risk,Immediate,Bad Service,Bangkok,Heathrow,British Airways
270,Answer: Negative,High Risk,Non-Immediate,Service Quality,Gatwick,Bordeaux,British Airways
271,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Glasgow,Munich,British Airways
272,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Budapest,Heathrow,BA
273,Answer: Positive,Low Risk,Non-Immediate,Flight and In-Flight Experience,Austin,London,British Airways
274,Negative,Moderate Risk,Non-Immediate,Flight and In-Flight Experience,Unknown,Unknown,British Airways
275,Answer: Positive,Low Risk,Non-Immediate,Customer Experience and Satisfaction,Munich,London City,British Airways
276,Answer: Negative,High Risk,Non-Immediate,Service Quality,London,Johannesburg,Unknown
277,Negative,High Risk,Immediate,Bad Service,City x,City y,British Airways
278,Answer: Positive,Low Risk,Non-Immediate,Food and Catering,Washington,Gibraltar,British Airways
279,Negative,Low Risk,Non-Immediate,Flight and In-Flight Experience,New York,Cape Town,British Airways
